iter,emax,log_compression,n_live
211,-0.08231079309289457,-0.008333333333333333,120
212,-0.08237224245831058,-0.008333333333333333,120
213,-0.08337461690973764,-0.008333333333333333,120
214,-0.08362938301035917,-0.008333333333333333,120
215,-0.08383634547592324,-0.008333333333333333,120
216,-0.08497034068838641,-0.008333333333333333,120
217,-0.086143993930164,-0.008333333333333333,120
218,-0.08629740251414689,-0.008333333333333333,120
219,-0.0864941871202897,-0.008333333333333333,120
220,-0.08650923165210002,-0.008333333333333333,120
221,-0.08696135776191297,-0.008333333333333333,120
222,-0.08724228974498807,-0.008333333333333333,120
223,-0.08802011768088709,-0.008333333333333333,120
224,-0.0880279100419948,-0.008333333333333333,120
225,-0.08820376201845541,-0.008333333333333333,120
226,-0.08853371433246465,-0.008333333333333333,120
227,-0.08855909913238273,-0.008333333333333333,120
228,-0.08957057696995355,-0.008333333333333333,120
229,-0.08964564386161131,-0.008333333333333333,120
230,-0.09053238440722206,-0.008333333333333333,120
231,-0.0910837464725055,-0.008333333333333333,120
232,-0.09121829751120458,-0.008333333333333333,120
233,-0.09131581372757991,-0.008333333333333333,120
234,-0.09138507719128856,-0.008333333333333333,120
235,-0.09154331406486159,-0.008333333333333333,120
236,-0.09154813995629477,-0.008333333333333333,120
237,-0.09172727739526708,-0.008333333333333333,120
238,-0.09190002020431146,-0.008333333333333333,120
239,-0.09240177267796296,-0.008333333333333333,120
240,-0.09243208639923156,-0.008333333333333333,120
241,-0.09259383430516922,-0.008333333333333333,120
242,-0.09296023101074237,-0.008333333333333333,120
243,-0.09386523835154058,-0.008333333333333333,120
244,-0.09422798836560259,-0.008333333333333333,120
245,-0.09434778859538585,-0.008333333333333333,120
246,-0.09444648213636819,-0.008333333333333333,120
247,-0.09493304857070603,-0.008333333333333333,120
248,-0.09497895115027506,-0.008333333333333333,120
249,-0.09503994023480321,-0.008333333333333333,120
250,-0.09516946707587146,-0.008333333333333333,120
251,-0.0954537562837264,-0.008333333333333333,120
252,-0.0959247426453308,-0.008333333333333333,120
253,-0.09595380091783705,-0.008333333333333333,120
254,-0.09638792046193795,-0.008333333333333333,120
255,-0.09693649802651877,-0.008333333333333333,120
256,-0.09694262710554613,-0.008333333333333333,120
257,-0.09707996254643077,-0.008333333333333333,120
258,-0.09771985914754841,-0.008333333333333333,120
259,-0.09839926096196265,-0.008333333333333333,120
260,-0.09872161261767814,-0.008333333333333333,120
261,-0.09894892074346454,-0.008333333333333333,120
262,-0.09941479584316229,-0.008333333333333333,120
263,-0.09995165945223611,-0.008333333333333333,120
264,-0.10001995127924956,-0.008333333333333333,120
265,-0.10014351264879613,-0.008333333333333333,120
266,-0.10080434369647938,-0.008333333333333333,120
267,-0.10096642352195692,-0.008333333333333333,120
268,-0.10100412191370703,-0.008333333333333333,120
269,-0.10101839159042725,-0.008333333333333333,120
270,-0.10144831217112144,-0.008333333333333333,120
271,-0.10148938079925557,-0.008333333333333333,120
272,-0.1019023758461145,-0.008333333333333333,120
273,-0.1022527043641003,-0.008333333333333333,120
274,-0.10239186306161191,-0.008333333333333333,120
275,-0.10249997266352852,-0.008333333333333333,120
276,-0.10251892578461835,-0.008333333333333333,120
277,-0.10293531444503613,-0.008333333333333333,120
278,-0.10298531909545364,-0.008333333333333333,120
279,-0.10318279451750549,-0.008333333333333333,120
280,-0.10332690170118802,-0.008333333333333333,120
281,-0.10334352372942303,-0.008333333333333333,120
282,-0.10357140606635222,-0.008333333333333333,120
283,-0.10378639299886912,-0.008333333333333333,120
284,-0.1041238381654663,-0.008333333333333333,120
285,-0.10457380770624342,-0.008333333333333333,120
286,-0.10509119086156776,-0.008333333333333333,120
287,-0.10526777690646821,-0.008333333333333333,120
288,-0.10575301201120467,-0.008333333333333333,120
289,-0.10584131838192741,-0.008333333333333333,120
290,-0.10616489777282559,-0.008333333333333333,120
291,-0.1062798064678252,-0.008333333333333333,120
292,-0.10663002089175735,-0.008333333333333333,120
293,-0.1069868244322528,-0.008333333333333333,120
294,-0.10709395191825062,-0.008333333333333333,120
295,-0.10719480200027644,-0.008333333333333333,120
296,-0.10726406988942624,-0.008333333333333333,120
297,-0.10749235578548537,-0.008333333333333333,120
298,-0.10784358688223944,-0.008333333333333333,120
299,-0.10804603817754538,-0.008333333333333333,120
300,-0.10809176461246,-0.008333333333333333,120
301,-0.10817054636260791,-0.008333333333333333,120
302,-0.10821277693291792,-0.008333333333333333,120
303,-0.10866840487053207,-0.008333333333333333,120
304,-0.10875283940715372,-0.008333333333333333,120
305,-0.10893815901549157,-0.008333333333333333,120
306,-0.10916108144227579,-0.008333333333333333,120
307,-0.10923357187672622,-0.008333333333333333,120
308,-0.1096425375874491,-0.008333333333333333,120
309,-0.11059354558176338,-0.008333333333333333,120
310,-0.11076436351530886,-0.008333333333333333,120
311,-0.11129296000106963,-0.008333333333333333,120
312,-0.11131487584462528,-0.008333333333333333,120
313,-0.1116083112823456,-0.008333333333333333,120
314,-0.11240150726179458,-0.008333333333333333,120
315,-0.11246009261084083,-0.008333333333333333,120
316,-0.11248748253349608,-0.008333333333333333,120
317,-0.11248903488035478,-0.008333333333333333,120
318,-0.1129368630483412,-0.008333333333333333,120
319,-0.11298173657255528,-0.008333333333333333,120
320,-0.11335540536283333,-0.008333333333333333,120
321,-0.11386752272071836,-0.008333333333333333,120
322,-0.11392327413234125,-0.008333333333333333,120
323,-0.11436017791158017,-0.008333333333333333,120
324,-0.11489829295858704,-0.008333333333333333,120
325,-0.11575626920037552,-0.008333333333333333,120
326,-0.11581402173508623,-0.008333333333333333,120
327,-0.11588343569626161,-0.008333333333333333,120
328,-0.11647559993079319,-0.008333333333333333,120
329,-0.11656527756229432,-0.008333333333333333,120
330,-0.11692908818359167,-0.008333333333333333,120
331,-0.11693312664991198,-0.008333333333333333,120
332,-0.11771731098555145,-0.008333333333333333,120
333,-0.1177545256459448,-0.008333333333333333,120
